,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,Fe,Ag,element_B,Sb,Cr,Re,alpha,t1,t2
96,3.0,0,0.6,0.0,0.3,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,-29.35,176.14,240.2
98,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,-22.43,270.1,288.7
99,3.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,2,0.0,0.0,0.0,-14.1,267.6,287.3
100,3.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,2,0.0,0.0,0.0,-20.0,266.4,287.5
101,3.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,2,0.0,0.0,0.0,-24.0,266.3,284.9
102,3.0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92,2,0.0,0.0,0.0,-21.5,266.3,287.3
103,3.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,2,0.0,0.0,0.0,-18.2,260.1,284.8
105,3.0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-22.1,276.0,334.0
106,3.0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-20.0,351.0,411.0
112,3.0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-24.0,335.0,396.0
119,3.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-31.13,299.02,344.12
121,3.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-18.4,298.04,337.25
122,3.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.4,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,-30.3,265.0,325.0
