#EXPORTTYPE:DATA SINGLE							
#FILE:A+.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:A-2+							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 13:35							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:A-2+							
#SAMPLE LENGTH /mm:23.75							
#MATERIAL:							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-80.8	5.97541	-2.44061E-05					
-80.7	5.99522	-2.4262E-05					
-80.6	6.015	-2.4252E-05					
-80.5	6.03477	-2.4103E-05					
-80.4	6.05454	-2.41204E-05					
-80.3	6.0743	-2.40778E-05					
-80.2	6.09407	-2.39749E-05					
-80.1	6.11381	-2.39321E-05					
-80	6.13354	-2.38766E-05					
-79.9	6.15329	-2.38863E-05					
-79.8	6.173	-2.36899E-05					
-79.7	6.19271	-2.37325E-05					
-79.6	6.21245	-2.36715E-05					
-79.5	6.23217	-2.35737E-05					
-79.4	6.25191	-2.35681E-05					
-79.3	6.27161	-2.34218E-05					
-79.2	6.29133	-2.35128E-05					
-79.1	6.31106	-2.32965E-05					
-79	6.33078	-2.32393E-05					
-78.9	6.35049	-2.32385E-05					
-78.8	6.37022	-2.31664E-05					
-78.7	6.3899	-2.29901E-05					
-78.6	6.40958	-2.30288E-05					
-78.5	6.42931	-2.29565E-05					
-78.4	6.44903	-2.28101E-05					
-78.3	6.46872	-2.27783E-05					
-78.2	6.48843	-2.26952E-05					
-78.1	6.50808	-2.26707E-05					
-78	6.5278	-2.25501E-05					
-77.9	6.54749	-2.2481E-05					
-77.8	6.56717	-2.24168E-05					
-77.7	6.58687	-2.23381E-05					
-77.6	6.60656	-2.2325E-05					
-77.5	6.62627	-2.21509E-05					
-77.4	6.64598	-2.21601E-05					
-77.3	6.6657	-2.20037E-05					
-77.2	6.68542	-2.1955E-05					
-77.1	6.70516	-2.17322E-05					
-77	6.72487	-2.17667E-05					
-76.9	6.74457	-2.17179E-05					
-76.8	6.76428	-2.15354E-05					
-76.7	6.78395	-2.14287E-05					
-76.6	6.80365	-2.14368E-05					
