#EXPORTTYPE:DATA SINGLE						
#FILE:B&D.ngb-sla						
#FORMAT:NETZSCH5						
#FTYPE:ANSI						
#IDENTITY:D						
#DECIMAL:POINT						
#SEPARATOR:SEMICOLON						
#MTYPE:DIL						
#INSTRUMENT:NETZSCH DIL 402SE						
#PROJECT:1						
#DATE/TIME:10.12.2019 16:07						
#CORR. FILE:						
#TEMPCAL:TCALZERO.TMX						
#LABORATORY:1						
#OPERATOR:1						
#REMARK:						
#SAMPLE:D						
#SAMPLE LENGTH /mm:9.91						
#MATERIAL:Ã’¥…						
#MEASMODE:Standard Expansion						
#M.RANGE /¶Ãm:20000						
#CORR. CODE:010						
#RANGE:-110°„C/5.0(K/min)/200°„C						
#SEGMENT:S1/1						
#SEG. 1:-110°„C/5.0(K/min)/200°„C						
						
##Temp./°„C	Time/min	dL/Lo				
-70.9	7.92473	0.000300759				
-70.8	7.94443	0.000302307				
-70.7	7.96413	0.000303447				
-70.6	7.98381	0.000304815				
-70.5	8.00349	0.000306178				
-70.4	8.02318	0.000307454				
-70.3	8.04291	0.000308812				
-70.2	8.06262	0.000310088				
-70.1	8.08233	0.00031162				
-70	8.102	0.000312739				
-69.9	8.1217	0.000314088				
-69.8	8.14138	0.00031542				
-69.7	8.16105	0.000316775				
-69.6	8.18072	0.000318082				
-69.5	8.20043	0.000319492				
-69.4	8.22011	0.000320927				
-69.3	8.23981	0.000322006				
-69.2	8.25953	0.000323282				
-69.1	8.27921	0.000324827				
-69	8.29895	0.000326066				
-68.9	8.31866	0.000327473				
-68.8	8.33837	0.000328774				
-68.7	8.35811	0.000330083				
-68.6	8.37784	0.000331342				
-68.5	8.3976	0.00033267				
-68.4	8.41736	0.000334087				
-68.3	8.43713	0.000335259				
-68.2	8.45687	0.000336705				
-68.1	8.47661	0.000337942				
-68	8.49637	0.000339528				
-67.9	8.51616	0.000340515				
-67.8	8.53596	0.000341976				
-67.7	8.55576	0.000343335				
-67.6	8.57556	0.000344492				
-67.5	8.59536	0.000345962				
-67.4	8.61515	0.000347232				
-67.3	8.63496	0.000348621				
-67.2	8.65473	0.000349867				
-67.1	8.67452	0.000351379				
-67	8.69434	0.000352389				
-66.9	8.71409	0.000354075				
-66.8	8.73391	0.000355115				
-66.7	8.75371	0.000356544				
-66.6	8.77351	0.000357952				
-66.5	8.79334	0.000359242				
-66.4	8.81313	0.000360679				
-66.3	8.83294	0.000361746				
-66.2	8.85275	0.000363211				
-66.1	8.87254	0.000364443				
-66	8.89234	0.000365943				
-65.9	8.91212	0.000366986				
-65.8	8.93192	0.00036857				
-65.7	8.95169	0.000369742				
-65.6	8.97148	0.000371104				
-65.5	8.9913	0.000372506				
-65.4	9.01109	0.000373737				
-65.3	9.0309	0.000375186				
-65.2	9.05069	0.000376253				
-65.1	9.07047	0.00037785				
-65	9.09024	0.000378982				
-64.9	9.11002	0.000380515				
-64.8	9.12981	0.000381682				
-64.7	9.14958	0.000383059				
-64.6	9.16936	0.000384422				
-64.5	9.18912	0.000385777				
-64.4	9.20889	0.000386952				
-64.3	9.22867	0.000388389				
-64.2	9.24841	0.00038971				
-64.1	9.26816	0.000390927				
-64	9.28793	0.000392389				
-63.9	9.30771	0.000393358				
-63.8	9.32751	0.000394976				
-63.7	9.34727	0.000396087				
-63.6	9.36707	0.00039745				
-63.5	9.38686	0.000398819				
-63.4	9.40666	0.000400122				
-63.3	9.42644	0.000401448				
-63.2	9.44621	0.000402602				
-63.1	9.46603	0.000404284				
-63	9.48587	0.000405228				
-62.9	9.50571	0.000406812				
-62.8	9.52555	0.000407987				
-62.7	9.54538	0.000409246				
-62.6	9.5652	0.000410656				
-62.5	9.58504	0.000412004				
-62.4	9.60488	0.000413304				
-62.3	9.62472	0.00041445				
-62.2	9.64457	0.00041592				
-62.1	9.66444	0.000417157				
-62	9.68427	0.000418568				
-61.9	9.70413	0.00041956				
-61.8	9.72396	0.000421371				
-61.7	9.74383	0.000422342				
-61.6	9.76369	0.000423764				
-61.5	9.78352	0.000425047				
-61.4	9.80336	0.000426291				
-61.3	9.82321	0.000427793				
-61.2	9.8431	0.000428841				
-61.1	9.86296	0.000430361				
-61	9.8828	0.000431527				
-60.9	9.90264	0.000432885				
-60.8	9.92247	0.000433986				
-60.7	9.94232	0.000435404				
-60.6	9.96216	0.0004367				
-60.5	9.98201	0.000437804				
-60.4	10.00183	0.000439362				
-60.3	10.02165	0.000440507				
-60.2	10.04149	0.000441782				
-60.1	10.06129	0.000443001				
-60	10.08111	0.000444408				
-59.9	10.1009	0.000445659				
-59.8	10.1207	0.000447038				
-59.7	10.1405	0.000448239				
-59.6	10.16027	0.00044957				
-59.5	10.18007	0.000450902				
-59.4	10.19988	0.000452009				
-59.3	10.21967	0.000453287				
-59.2	10.23945	0.000454442				
-59.1	10.25922	0.000456081				
-59	10.27899	0.00045697				
-58.9	10.29876	0.00045856				
-58.8	10.31856	0.00045969				
-58.7	10.33835	0.000461038				
-58.6	10.35813	0.000462233				
-58.5	10.37789	0.000463495				
-58.4	10.39767	0.000464739				
-58.3	10.41747	0.000465949				
-58.2	10.43726	0.000467274				
-58.1	10.45704	0.000468487				
-58	10.47682	0.000469821				
-57.9	10.49663	0.000471002				
-57.8	10.5165	0.000472336				
-57.7	10.53631	0.00047356				
-57.6	10.55613	0.000474869				
-57.5	10.57594	0.000476211				
-57.4	10.59575	0.000477407				
-57.3	10.61557	0.000478904				
-57.2	10.6354	0.000479796				
-57.1	10.65522	0.000481377				
-57	10.67503	0.000482502				
-56.9	10.69486	0.00048388				
-56.8	10.71469	0.000485094				
-56.7	10.73448	0.000486513				
-56.6	10.7543	0.000487698				
-56.5	10.77411	0.000488854				
-56.4	10.79393	0.000490397				
-56.3	10.81374	0.000491396				
-56.2	10.83355	0.000492969				
-56.1	10.85333	0.000494141				
-56	10.87315	0.000495482				
-55.9	10.89298	0.00049668				
-55.8	10.91277	0.000497861				
-55.7	10.93255	0.000499108				
-55.6	10.95237	0.000500485				
-55.5	10.97214	0.000501769				
-55.4	10.99194	0.000502891				
-55.3	11.01174	0.000504391				
-55.2	11.03153	0.000505436				
-55.1	11.0513	0.000507008				
-55	11.07112	0.000508025				
-54.9	11.09092	0.000509303				
-54.8	11.1107	0.000510507				
-54.7	11.13047	0.000511962				
-54.6	11.15028	0.000513175				
-54.5	11.17004	0.000514445				
-54.4	11.18981	0.00051589				
-54.3	11.20959	0.000516881				
