#EXPORTTYPE:DATA SINGLE							
#FILE:C.ngb-sla							
#FORMAT:NETZSCH5							
#FTYPE:ANSI							
#IDENTITY:C-2							
#DECIMAL:POINT							
#SEPARATOR:SEMICOLON							
#MTYPE:DIL							
#INSTRUMENT:NETZSCH DIL 402SE							
#PROJECT:1							
#DATE/TIME:10.12.2019 18:53							
#CORR. FILE:							
#TEMPCAL:TCALZERO.TMX							
#LABORATORY:1							
#OPERATOR:1							
#REMARK:							
#SAMPLE:C-2							
#SAMPLE LENGTH /mm:23.86							
#MATERIAL:Ã’¥…							
#MEASMODE:Standard Expansion							
#M.RANGE /¶Ãm:20000							
#CORR. CODE:010							
#RANGE:-110°„C/5.0(K/min)/200°„C							
#SEGMENT:S1/1							
#SEG. 1:-110°„C/5.0(K/min)/200°„C							
							
##Temp./°„C	Time/min	dL/Lo					
-82.2	5.70919	-3.04971E-05					
-82.1	5.72897	-2.9628E-05					
-82	5.74873	-2.86545E-05					
-81.9	5.76852	-2.7831E-05					
-81.8	5.78828	-2.69052E-05					
-81.7	5.80803	-2.60626E-05					
-81.6	5.82779	-2.51488E-05					
-81.5	5.84754	-2.43516E-05					
-81.4	5.86732	-2.35133E-05					
-81.3	5.88709	-2.25564E-05					
-81.2	5.90686	-2.17124E-05					
-81.1	5.92661	-2.08152E-05					
-81	5.94635	-2.00789E-05					
-80.9	5.96609	-1.91089E-05					
-80.8	5.98581	-1.82023E-05					
-80.7	6.00556	-1.73156E-05					
-80.6	6.02528	-1.65214E-05					
-80.5	6.045	-1.56405E-05					
-80.4	6.06471	-1.4659E-05					
-80.3	6.08442	-1.37976E-05					
-80.2	6.10414	-1.29902E-05					
-80.1	6.12387	-1.20246E-05					
-80	6.14362	-1.11185E-05					
-79.9	6.16335	-1.02439E-05					
-79.8	6.18306	-9.36765E-06					
-79.7	6.20277	-8.47868E-06					
-79.6	6.22248	-7.56733E-06					
-79.5	6.24223	-6.71411E-06					
-79.4	6.26193	-5.82799E-06					
-79.3	6.28163	-4.946E-06					
-79.2	6.30135	-4.01181E-06					
-79.1	6.32105	-3.10386E-06					
-79	6.34076	-2.07979E-06					
-78.9	6.36046	-1.23445E-06					
-78.8	6.38014	-2.46388E-07					
-78.7	6.39984	6.42219E-07					
-78.6	6.41952	1.57583E-06					
-78.5	6.43922	2.56035E-06					
-78.4	6.45889	3.4622E-06					
-78.3	6.47857	4.48099E-06					
-78.2	6.49824	5.33076E-06					
-78.1	6.51792	6.36234E-06					
-78	6.53759	7.17592E-06					
-77.9	6.55722	8.19884E-06					
-77.8	6.57687	9.02796E-06					
-77.7	6.59653	1.00434E-05					
-77.6	6.61621	1.09985E-05					
-77.5	6.63588	1.19341E-05					
-77.4	6.65552	1.29204E-05					
-77.3	6.67518	1.38506E-05					
-77.2	6.6948	1.48398E-05					
-77.1	6.71443	1.57794E-05					
-77	6.73408	1.67933E-05					
-76.9	6.75374	1.77004E-05					
-76.8	6.77338	1.86649E-05					
-76.7	6.79306	1.96168E-05					
-76.6	6.81272	2.0663E-05					
-76.5	6.83239	2.15898E-05					
-76.4	6.85206	2.24601E-05					
-76.3	6.87176	2.35239E-05					
-76.2	6.89144	2.45131E-05					
-76.1	6.91114	2.54176E-05					
-76	6.93082	2.63572E-05					
-75.9	6.9505	2.73281E-05					
-75.8	6.97021	2.84067E-05					
-75.7	6.98994	2.9302E-05					
-75.6	7.00965	3.02368E-05					
-75.5	7.02936	0.000031259					
-75.4	7.04906	3.21715E-05					
-75.3	7.06876	3.32219E-05					
-75.2	7.08848	3.41384E-05					
-75.1	7.10819	3.51415E-05					
-75	7.12793	3.60072E-05					
-74.9	7.14763	3.71132E-05					
-74.8	7.16735	3.80067E-05					
-74.7	7.18708	3.8996E-05					
-74.6	7.20679	3.99308E-05					
-74.5	7.22652	4.09656E-05					
-74.4	7.24625	4.19083E-05					
-74.3	7.26598	4.28116E-05					
-74.2	7.28571	4.38354E-05					
-74.1	7.30545	4.48193E-05					
-74	7.32516	4.58306E-05					
-73.9	7.3449	4.67121E-05					
-73.8	7.36464	4.77265E-05					
-73.7	7.38437	4.86788E-05					
-73.6	7.40409	4.96765E-05					
-73.5	7.42384	5.06342E-05					
-73.4	7.44357	5.16616E-05					
-73.3	7.46331	5.26607E-05					
-73.2	7.48306	5.36778E-05					
-73.1	7.50283	5.46918E-05					
-73	7.5226	5.56024E-05					
-72.9	7.54238	5.66543E-05					
-72.8	7.56214	5.75227E-05					
-72.7	7.58188	5.85974E-05					
-72.6	7.60162	5.95169E-05					
-72.5	7.62136	6.06302E-05					
-72.4	7.64108	6.15274E-05					
-72.3	7.66083	6.25382E-05					
-72.2	7.68055	6.35415E-05					
-72.1	7.7003	6.44792E-05					
-72	7.72002	6.55111E-05					
-71.9	7.73977	6.65241E-05					
-71.8	7.7595	6.74787E-05					
-71.7	7.77924	6.8469E-05					
-71.6	7.79899	6.94472E-05					
-71.5	7.81873	7.05176E-05					
-71.4	7.83845	7.14616E-05					
-71.3	7.85819	7.24834E-05					
-71.2	7.87791	7.34888E-05					
-71.1	7.89764	7.44126E-05					
-71	7.91737	7.5493E-05					
-70.9	7.93709	7.64409E-05					
-70.8	7.95681	7.75187E-05					
-70.7	7.97652	7.85184E-05					
-70.6	7.99626	7.95333E-05					
-70.5	8.01601	8.04678E-05					
-70.4	8.03575	8.15619E-05					
-70.3	8.0555	8.25308E-05					
-70.2	8.07524	8.35573E-05					
-70.1	8.09498	8.44968E-05					
-70	8.11469	8.54006E-05					
-69.9	8.13445	8.64788E-05					
-69.8	8.15418	8.74923E-05					
-69.7	8.17392	8.85282E-05					
-69.6	8.19366	8.95011E-05					
-69.5	8.21337	9.05804E-05					
-69.4	8.2331	9.15453E-05					
-69.3	8.25283	9.25079E-05					
-69.2	8.27256	9.35599E-05					
-69.1	8.29231	9.45685E-05					
-69	8.31203	9.55582E-05					
-68.9	8.33174	9.66207E-05					
-68.8	8.35147	9.76122E-05					
-68.7	8.37119	9.85907E-05					
-68.6	8.39092	9.96195E-05					
-68.5	8.41064	0.0001007					
-68.4	8.43034	0.000101613					
-68.3	8.45008	0.000102657					
-68.2	8.46981	0.000103777					
-68.1	8.48952	0.000104811					
-68	8.50927	0.000105801					
-67.9	8.52903	0.000106764					
-67.8	8.54875	0.000107818					
-67.7	8.5685	0.000108803					
-67.6	8.58826	0.000109869					
-67.5	8.60802	0.000110792					
-67.4	8.62779	0.000111937					
-67.3	8.64755	0.000112904					
-67.2	8.66732	0.000113956					
-67.1	8.68708	0.000114951					
-67	8.70686	0.000115936					
-66.9	8.72668	0.000117001					
-66.8	8.74649	0.00011796					
-66.7	8.7663	0.000119007					
-66.6	8.78611	0.000119939					
-66.5	8.80591	0.000121057					
-66.4	8.82573	0.000122005					
-66.3	8.84557	0.000122983					
-66.2	8.8654	0.000123986					
-66.1	8.88522	0.000125049					
-66	8.90504	0.000126057					
-65.9	8.92485	0.000127037					
-65.8	8.94467	0.000128067					
-65.7	8.9645	0.000129126					
-65.6	8.98432	0.000130111					
-65.5	9.00413	0.000131071					
-65.4	9.02394	0.000132136					
-65.3	9.04376	0.000133062					
-65.2	9.06356	0.000134153					
-65.1	9.08338	0.00013516					
-65	9.10317	0.000136174					
-64.9	9.12294	0.00013721					
-64.8	9.14273	0.000138273					
-64.7	9.16249	0.000139237					
-64.6	9.18228	0.000140306					
-64.5	9.20207	0.00014129					
-64.4	9.22186	0.000142312					
-64.3	9.24165	0.000143311					
-64.2	9.26141	0.00014433					
-64.1	9.28119	0.000145372					
-64	9.30097	0.000146366					
-63.9	9.32075	0.000147473					
-63.8	9.34055	0.000148394					
-63.7	9.36034	0.000149458					
-63.6	9.38012	0.00015044					
-63.5	9.3999	0.000151524					
-63.4	9.41968	0.000152456					
-63.3	9.43946	0.000153549					
-63.2	9.45926	0.000154486					
-63.1	9.47903	0.000155532					
-63	9.49883	0.000156553					
-62.9	9.51861	0.000157474					
-62.8	9.53841	0.000158597					
-62.7	9.55816	0.000159613					
-62.6	9.57794	0.000160677					
-62.5	9.59769	0.000161536					
-62.4	9.61745	0.000162794					
-62.3	9.63723	0.000163708					
-62.2	9.65698	0.000164758					
-62.1	9.67677	0.000165727					
-62	9.69653	0.00016679					
-61.9	9.71631	0.0001678					
-61.8	9.73608	0.000168817					
-61.7	9.75581	0.000169895					
-61.6	9.77558	0.000170908					
-61.5	9.79537	0.000171953					
-61.4	9.81512	0.000172896					
-61.3	9.83489	0.000173994					
-61.2	9.85467	0.00017497					
-61.1	9.87443	0.000176096					
-61	9.89423	0.000177119					
-60.9	9.91402	0.000178029					
-60.8	9.93381	0.000179152					
-60.7	9.95364	0.000180203					
-60.6	9.97349	0.000181221					
-60.5	9.99333	0.000182258					
-60.4	10.01317	0.000183295					
-60.3	10.033	0.000184373					
-60.2	10.05283	0.000185451					
-60.1	10.07265	0.000186417					
-60	10.09248	0.000187444					
-59.9	10.11235	0.000188553					
-59.8	10.13219	0.000189612					
-59.7	10.15202	0.000190654					
-59.6	10.17186	0.00019172					
-59.5	10.19169	0.000192741					
-59.4	10.21151	0.000193876					
-59.3	10.23138	0.000194829					
-59.2	10.25122	0.000195912					
-59.1	10.27106	0.000196972					
-59	10.2909	0.000198054					
-58.9	10.31072	0.000199114					
-58.8	10.33055	0.000200172					
-58.7	10.35039	0.000201212					
-58.6	10.37017	0.000202288					
-58.5	10.38996	0.000203392					
-58.4	10.40977	0.000204319					
-58.3	10.42959	0.000205439					
-58.2	10.4494	0.000206475					
-58.1	10.46923	0.000207553					
-58	10.48906	0.000208567					
-57.9	10.50886	0.000209585					
-57.8	10.52863	0.000210705					
-57.7	10.54842	0.000211699					
-57.6	10.56823	0.000212825					
-57.5	10.58806	0.000213698					
-57.4	10.60786	0.000214915					
-57.3	10.62767	0.000215849					
-57.2	10.64746	0.000216984					
-57.1	10.66725	0.000217961					
-57	10.68703	0.000219068					
-56.9	10.70682	0.000220075					
-56.8	10.72662	0.000221016					
-56.7	10.7464	0.000222105					
-56.6	10.76618	0.000223106					
-56.5	10.78598	0.000224259					
-56.4	10.80574	0.00022519					
-56.3	10.82552	0.000226203					
-56.2	10.84531	0.000227252					
-56.1	10.86509	0.000228272					
-56	10.88485	0.000229385					
-55.9	10.90461	0.000230403					
-55.8	10.92437	0.000231352					
-55.7	10.94415	0.000232482					
-55.6	10.96388	0.000233409					
-55.5	10.98363	0.00023451					
-55.4	11.00337	0.000235438					
-55.3	11.02312	0.000236499					
-55.2	11.04287	0.000237512					
-55.1	11.06263	0.000238603					
-55	11.08238	0.000239559					
-54.9	11.10213	0.000240523					
-54.8	11.12187	0.000241683					
-54.7	11.14162	0.000242666					
-54.6	11.16137	0.000243747					
-54.5	11.18112	0.000244795					
-54.4	11.20086	0.000245863					
-54.3	11.22065	0.000246876					
-54.2	11.24039	0.000247937					
-54.1	11.26011	0.000248986					
-54	11.27987	0.000250092					
-53.9	11.2996	0.000251097					
-53.8	11.31936	0.000252202					
-53.7	11.33912	0.000253272					
-53.6	11.35885	0.000254309					
-53.5	11.37862	0.000255449					
-53.4	11.39839	0.0002564					
-53.3	11.41816	0.000257477					
-53.2	11.4379	0.000258497					
-53.1	11.45766	0.000259704					
-53	11.47739	0.000260783					
-52.9	11.49713	0.000261708					
-52.8	11.51687	0.000262799					
-52.7	11.5366	0.000263933					
-52.6	11.55635	0.000265012					
-52.5	11.57609	0.000265966					
-52.4	11.59582	0.000267063					
-52.3	11.61557	0.000268181					
-52.2	11.63529	0.000269217					
-52.1	11.65503	0.000270258					
-52	11.67477	0.000271365					
-51.9	11.69451	0.000272379					
-51.8	11.71423	0.000273433					
-51.7	11.73398	0.000274539					
-51.6	11.75371	0.00027554					
-51.5	11.77345	0.000276694					
-51.4	11.79319	0.000277783					
-51.3	11.81291	0.00027876					
-51.2	11.83265	0.000279858					
-51.1	11.85238	0.000280869					
-51	11.87213	0.000282014					
-50.9	11.89192	0.000283034					
-50.8	11.91169	0.000284096					
-50.7	11.93147	0.000285202					
-50.6	11.95124	0.000286167					
-50.5	11.971	0.000287287					
-50.4	11.99075	0.000288304					
-50.3	12.01054	0.000289438					
-50.2	12.03031	0.000290453					
-50.1	12.05006	0.000291615					
-50	12.06984	0.000292635					
-49.9	12.0896	0.000293644					
-49.8	12.10938	0.000294749					
-49.7	12.12918	0.000295802					
-49.6	12.14893	0.000296805					
-49.5	12.16871	0.000297877					
-49.4	12.18849	0.00029904					
-49.3	12.20828	0.000299956					
-49.2	12.22806	0.000301113					
-49.1	12.24781	0.000302065					
-49	12.26759	0.000303234					
-48.9	12.28737	0.000304238					
-48.8	12.30713	0.000305353					
-48.7	12.32688	0.000306327					
-48.6	12.34663	0.000307513					
-48.5	12.36639	0.00030858					
-48.4	12.38614	0.00030951					
-48.3	12.40587	0.000310638					
-48.2	12.42559	0.000311669					
-48.1	12.44533	0.000312735					
-48	12.46508	0.000313826					
-47.9	12.48481	0.000314922					
-47.8	12.50455	0.000315938					
-47.7	12.52428	0.000317038					
-47.6	12.54402	0.000318072					
-47.5	12.56376	0.000319118					
-47.4	12.5835	0.000320164					
-47.3	12.60323	0.000321249					
-47.2	12.62295	0.000322258					
-47.1	12.64269	0.000323316					
-47	12.66244	0.000324384					
-46.9	12.68216	0.000325494					
-46.8	12.70188	0.00032652					
-46.7	12.72162	0.00032752					
-46.6	12.74138	0.000328621					
-46.5	12.76113	0.000329687					
-46.4	12.78085	0.000330759					
-46.3	12.80059	0.000331726					
-46.2	12.82032	0.000332858					
-46.1	12.84008	0.000333887					
-46	12.85981	0.000335005					
-45.9	12.87957	0.000335963					
-45.8	12.89932	0.000337092					
-45.7	12.91908	0.000338039					
-45.6	12.93882	0.000339205					
-45.5	12.95858	0.000340289					
-45.4	12.97834	0.00034123					
-45.3	12.99809	0.000342371					
-45.2	13.01787	0.000343467					
-45.1	13.03765	0.000344593					
-45	13.05742	0.00034551					
-44.9	13.0772	0.000346627					
-44.8	13.09698	0.000347576					
-44.7	13.11676	0.00034872					
-44.6	13.13653	0.00034971					
-44.5	13.15628	0.000350804					
-44.4	13.17605	0.000351881					
-44.3	13.19587	0.000352978					
-44.2	13.21566	0.000354004					
-44.1	13.23549	0.000354991					
-44	13.25529	0.000356135					
-43.9	13.27506	0.000357134					
-43.8	13.29487	0.000358259					
-43.7	13.31468	0.000359267					
-43.6	13.3345	0.000360393					
-43.5	13.35431	0.000361418					
-43.4	13.3741	0.000362516					
-43.3	13.3939	0.00036351					
-43.2	13.41372	0.000364607					
-43.1	13.43356	0.000365741					
-43	13.45341	0.000366782					
-42.9	13.47325	0.000367832					
-42.8	13.49308	0.000368834					
-42.7	13.51292	0.000369904					
-42.6	13.53276	0.000370928					
-42.5	13.55261	0.000372					
-42.4	13.57246	0.000372982					
-42.3	13.5923	0.000374051					
-42.2	13.61214	0.000375111					
-42.1	13.63202	0.000376138					
-42	13.65186	0.0003772					
-41.9	13.67173	0.000378314					
-41.8	13.6916	0.000379305					
-41.7	13.71147	0.000380335					
-41.6	13.73134	0.000381358					
-41.5	13.75121	0.000382429					
-41.4	13.77114	0.000383541					
-41.3	13.79103	0.000384472					
-41.2	13.81091	0.000385607					
-41.1	13.83082	0.000386541					
-41	13.85069	0.000387684					
-40.9	13.87054	0.000388677					
-40.8	13.89045	0.000389815					
-40.7	13.91034	0.000390807					
-40.6	13.93026	0.000391913					
-40.5	13.95016	0.000392965					
-40.4	13.97014	0.000393916					
-40.3	13.99011	0.000395029					
-40.2	14.01008	0.000396036					
-40.1	14.03007	0.000397146					
-40	14.05005	0.00039809					
-39.9	14.07006	0.000399228					
-39.8	14.09007	0.000400164					
-39.7	14.11012	0.000401387					
-39.6	14.13017	0.000402408					
-39.5	14.15023	0.000403394					
-39.4	14.1703	0.000404506					
-39.3	14.19039	0.000405597					
-39.2	14.21049	0.00040661					
-39.1	14.23061	0.000407606					
-39	14.25072	0.000408733					
-38.9	14.27086	0.000409727					
-38.8	14.29103	0.000410907					
-38.7	14.31117	0.000411809					
-38.6	14.33133	0.000412947					
-38.5	14.35151	0.000414055					
-38.4	14.37166	0.000415013					
-38.3	14.39178	0.000416062					
-38.2	14.41194	0.000417171					
-38.1	14.43206	0.000418273					
-38	14.45219	0.000419216					
-37.9	14.47233	0.000420388					
-37.8	14.49244	0.000421345					
-37.7	14.51254	0.000422407					
-37.6	14.53265	0.000423466					
-37.5	14.55272	0.000424589					
-37.4	14.5728	0.000425548					
-37.3	14.59286	0.000426702					
-37.2	14.61287	0.000427751					
-37.1	14.63288	0.000428739					
-37	14.65287	0.000429862					
-36.9	14.67283	0.000430963					
-36.8	14.69279	0.000432019					
-36.7	14.71269	0.000433092					
-36.6	14.73259	0.000434168					
-36.5	14.75244	0.000435223					
-36.4	14.77226	0.000436311					
-36.3	14.79207	0.000437378					
-36.2	14.81187	0.000438447					
-36.1	14.83163	0.00043948					
-36	14.85137	0.000440631					
-35.9	14.87107	0.000441638					
-35.8	14.89072	0.000442719					
-35.7	14.91033	0.000443765					
-35.6	14.92992	0.000444914					
-35.5	14.94945	0.000445916					
-35.4	14.96893	0.000446991					
-35.3	14.98837	0.000448028					
-35.2	15.00777	0.000449035					
-35.1	15.02713	0.000450163					
-35	15.04645	0.000451099					
-34.9	15.06572	0.000452248					
-34.8	15.08496	0.000453201					
-34.7	15.10414	0.000454396					
-34.6	15.12332	0.000455311					
-34.5	15.14245	0.000456358					
-34.4	15.16155	0.000457313					
-34.3	15.18066	0.000458351					
-34.2	15.19974	0.000459381					
-34.1	15.21881	0.000460416					
-34	15.23788	0.000461444					
-33.9	15.25693	0.000462425					
-33.8	15.27602	0.000463436					
-33.7	15.29515	0.000464538					
-33.6	15.31431	0.000465404					
-33.5	15.33352	0.000466549					
-33.4	15.35277	0.000467507					
-33.3	15.37207	0.000468471					
-33.2	15.39143	0.000469524					
-33.1	15.41084	0.000470527					
-33	15.43033	0.000471546					
-32.9	15.44991	0.00047249					
-32.8	15.46954	0.000473545					
-32.7	15.48925	0.000474513					
-32.6	15.50904	0.000475674					
-32.5	15.52889	0.000476693					
-32.4	15.54882	0.000477646					
-32.3	15.56883	0.000478688					
-32.2	15.58888	0.000479772					
-32.1	15.60902	0.000480804					
-32	15.6292	0.00048186					
-31.9	15.64944	0.000482902					
-31.8	15.66977	0.000484016					
-31.7	15.69011	0.000484962					
-31.6	15.71046	0.000485997					
-31.5	15.73084	0.000487177					
-31.4	15.75122	0.00048816					
-31.3	15.77159	0.000489305					
-31.2	15.79197	0.000490303					
-31.1	15.81235	0.000491334					
-31	15.83273	0.000492495					
-30.9	15.85308	0.000493495					
-30.8	15.87342	0.000494675					
-30.7	15.89373	0.000495647					
-30.6	15.91405	0.000496827					
-30.5	15.93431	0.00049788					
-30.4	15.95456	0.000498933					
-30.3	15.97481	0.000500035					
-30.2	15.99504	0.000501175					
-30.1	16.01524	0.000502299					
-30	16.03541	0.000503234					
-29.9	16.05553	0.000504413					
-29.8	16.07563	0.000505438					
-29.7	16.0957	0.000506616					
-29.6	16.11573	0.000507559					
-29.5	16.13575	0.000508744					
-29.4	16.15574	0.000509769					
-29.3	16.17573	0.000510804					
-29.2	16.19571	0.000511858					
-29.1	16.21569	0.000512957					
-29	16.23564	0.000514048					
-28.9	16.25557	0.000515035					
-28.8	16.27546	0.000516188					
-28.7	16.29537	0.000517109					
-28.6	16.31525	0.000518321					
-28.5	16.33513	0.00051935					
-28.4	16.35503	0.000520461					
